original_sentence	synonymized_sentence
The hygienist told the patient that he needed to perform a full mouth x-ray.	The hygienist told the patient that he needed to perform a full mouth scan.
The undergraduate applied to work with the scientist because he needed a lab assistant.	The undergraduate applied to work with the scientist because he required a lab assistant.
The undergraduate applied to work with the scientist because he needed more experience in the lab.	The undergraduate applied to work with the scientist because he required more experience in the lab.
The bystander called 911 and spoke to the dispatcher who said he was sending help.	The bystander called 911 and spoke to the dispatcher who said he was sending aid.
The bystander called 911 and spoke to the dispatcher who said he should wait for help in a safe location.	The bystander called 911 and spoke to the dispatcher who said he should wait for aid in a safe location.
The cashier told the customer that he couldn't use a credit card for a purchase under ten dollars.	The cashier told the customer that he couldn't use a credit card for a transaction under ten dollars.
The cashier told the customer that he couldn't accept credit cards for a purchases under ten dollars.	The cashier told the customer that he couldn't accept credit cards for transactions under ten dollars.
The auditor asked the taxpayer to provide records for him to scrutinize.	The auditor asked the taxpayer to provide records for him to peruse.
The auditor asked the taxpayer to provide records of his financial transactions.	The auditor requested the taxpayer to provide records of his financial transactions.
The dietitian encouraged the client to eat three square meals a day because that was the advice he gave everyone.	The dietitian encouraged the client to consume three square meals a day because that was the advice he gave everyone.
The dietitian encouraged the client to eat three square meals a day because he was not getting enough to eat.	The dietitian encouraged the client to consume three square meals a day because he was not getting enough to eat.
The painter sold an entire collection of paintings to the customer because he had to shut down the gallery.	The painter sold an entire collection of paintings to the customer because he had to close the gallery.
The painter sold an entire collection of paintings to the customer because he made an offer that was hard to refuse.	The painter sold an entire collection of paintings to the customer because he made an offer that was hard to turn down.
The broker called the client because he had new stocks to recommend.	The broker called the client because he had new stocks to endorse.
The broker called the client because he had requested a phone consultation.	The broker called the client because he had asked for a phone consultation.
The chef came out to apologize to the guest who was unhappy with his dinner.	The chef came out to apologize to the guest who was dissatisfied with his dinner.
The chef came out to apologize to the guest who was unhappy with his preparation style.	The chef came out to apologize to the guest who was dissatisfied with his preparation style.
The doctor told the patient that he would be at risk without the vaccination.	The doctor told the patient that he would be in danger without the vaccination.
The doctor told the patient that he would be on vacation next week.	The doctor informed the patient that he would be on vacation next week.
The firefighter had to rescue the child from the burning building because he could not escape.	The firefighter had to save the child from the burning building because he could not escape.
The firefighter had to rescue the child from the burning building because he could not just stand by and do nothing.	The firefighter had to save the child from the burning building because he could not just stand by and do nothing.
The secretary asked the visitor to sign in so that he could update the guest log.	The secretary requested the visitor to sign in so that he could update the guest log.
The secretary asked the visitor to sign in so that he could be issued a guest badge.	The secretary asked the visitor to sign in so that he could be given a guest badge.
